Download started at: 2025-03-11 23:09:04
Total images to download: 44

✓ uchicago_image_001.jpg: https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/449430999_1344618670041326_1031640824269424216_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDM5eDc4My5zZHIuZjI4ODUuZGVmYXVsdF9pbWFnZSJ9&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2AEzKBxvwSHVYKT96dy0EGbgLV7KCjseTQNRZq8GRARH4P5Cjxvf0rATPwiKfoIgH9M&_nc_ohc=pc8BU3Cl-VkQ7kNvgG9x3tC&_nc_gid=c55339d386da4c3eb0024a15a2cce284&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQwMDU2MDcyMzQxMzkyNzE2Nw%3D%3D.3-ccb7-5&oh=00_AYH1MT5l81tLT_whG1TnAGfY0TfbZ4n6YP7_xpMO9nhL8w&oe=67D6F62E&_nc_sid=22de04 (114.2 KB)
✓ uchicago_image_002.jpg: https://scontent-ord5-2.cdninstagram.com/v/t51.29350-15/449708135_8015924611803513_7849983022761802019_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42MTJ4MTA4OC5zZHIuZjI5MzUwLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2AEzKBxvwSHVYKT96dy0EGbgLV7KCjseTQNRZq8GRARH4P5Cjxvf0rATPwiKfoIgH9M&_nc_ohc=0MmJyXZqZD0Q7kNvgHralvT&_nc_gid=c55339d386da4c3eb0024a15a2cce284&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQwMzQ3NjI1OTg4ODU1OTMxNjExODI2NDc3MzMxODkwMTc%3D.3-ccb7-5&oh=00_AYHoIFXil8saG_5duBHoUmsHFeZHZrIfpry0QjaM7-A27w&oe=67D6DD62&_nc_sid=22de04 (109.0 KB)
✓ uchicago_image_003.jpg: https://scontent-ord5-2.cdninstagram.com/v/t51.2885-19/472447665_534936379581623_2611002564506599182_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2AGQSlFclZHN6jes-fc1EoN3577FP-71vwJin4s5sfFf_o4JH2gkFWlTBZc432Y8IXg&_nc_ohc=DDAZdFCwpsMQ7kNvgE0Opoy&_nc_gid=919d3c44e51c4c4292c864192fdf0dcf&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYHHDt1LIkBL7XSH0qd0OrDqTtMDqLOQtiXCbAuhuCXviQ&oe=67D6D013&_nc_sid=10d13b (6.5 KB)
✓ uchicago_image_004.jpg: https://scontent-ord5-2.cdninstagram.com/v/t51.29350-15/448776450_793819602891686_1120169964035891778_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2AEzKBxvwSHVYKT96dy0EGbgLV7KCjseTQNRZq8GRARH4P5Cjxvf0rATPwiKfoIgH9M&_nc_ohc=im7lR6rnzYYQ7kNvgFxJHFE&_nc_gid=c55339d386da4c3eb0024a15a2cce284&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzM5ODI5MTkxMTkzOTk5MTE5Ng%3D%3D.3-ccb7-5&oh=00_AYH8aMQ0lTYJW-c0w9XvC25U8PSNL1Ec12T_UVYitMWSjA&oe=67D6D7DA&_nc_sid=22de04 (1021.3 KB)
✓ uchicago_image_005.jpg: https://scontent-ord5-2.cdninstagram.com/v/t51.29350-15/451385795_2193010487723023_5561208239956532637_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDE5MjAuc2RyLmYyOTM1MC5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2AGAc2-S-lwKUGPv_vPUpjIOIcmYZ_3PaS0TK_MSiLulUbZXtHaW6S1H7_P6Ol4TVCo&_nc_ohc=DkNVGoOr6BkQ7kNvgGinZJ2&_nc_gid=17f6099563d34fefab1d1fcb3a62e408&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQxNjM0NzcyNjQyMzc5MDg4MzE5NjIxNTA3NjQyMjUyODc%3D.3-ccb7-5&oh=00_AYH2A0OhhDPbngXBEh7t_gKdOoahBO5-Q5K5Ky0Ek02pNA&oe=67D6EB68&_nc_sid=22de04 (302.8 KB)
✓ uchicago_image_006.jpg: https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/448515069_1047986766744097_7845508192369815497_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDM5eDEzNTMuc2RyLmYyODg1LmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2AEtSHd-cjRetejz4052le-JqMmUv55JRXM1NXFmoCwvvp32ihaR9IbXHzqCZAOZTKs&_nc_ohc=91y4b4RrpxkQ7kNvgHmb_Of&_nc_gid=2e8cf4baadec428aa5a8a3a86423a4c6&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzM5MzMzOTIzNzE3NTEyMzMyMw%3D%3D.3-ccb7-5&oh=00_AYH-iJ1XB1zWRpKHnrmm293crxMJdQL2pEMYe4lUxKzTNA&oe=67D6D0D4&_nc_sid=22de04 (317.7 KB)
✓ uchicago_image_007.jpg: https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/448858197_1110168593387848_8988751840290762889_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDM5eDk1OS5zZHIuZjI4ODUuZGVmYXVsdF9pbWFnZSJ9&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2AEtSHd-cjRetejz4052le-JqMmUv55JRXM1NXFmoCwvvp32ihaR9IbXHzqCZAOZTKs&_nc_ohc=NUH4St3qhyAQ7kNvgE2VJsB&_nc_gid=2e8cf4baadec428aa5a8a3a86423a4c6&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzM5NDY1MTgzNTkzODE1MDM1Mw%3D%3D.3-ccb7-5&oh=00_AYGqEfIJrkSEoIiKIlBpOLSg3DcDgx8cWmKJXZw1-x-iMg&oe=67D6CE22&_nc_sid=22de04 (337.4 KB)
✓ uchicago_image_008.jpg: https://scontent-ord5-2.cdninstagram.com/v/t51.29350-15/452250102_473819115378861_2026891249333486425_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDYwNy5zZHIuZjI5MzUwLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2AEbagHtA9e0nkDC7_NztXafsFXn5vKut6sFCi2eYzN8wypdnNMWhvbXAxERqP0OBS4&_nc_ohc=mGRYnvOWPA4Q7kNvgGbWvjI&_nc_gid=118738c525f64d92be50a699cc5be2da&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQxODAyMTU5MTEwMjUwNzYxODEwMDA0NzAzMjgyODcyNjc%3D.3-ccb7-5&oh=00_AYEz6sW9XdYjvMp9baKWaun013eVFCpEF5vra56Cc6cPyg&oe=67D6E4C5&_nc_sid=22de04 (161.5 KB)
