category,event_date,event_count
Disk IO Exception,2024-04-08,17
Memory Exception,2024-04-08,26
Network IO Exception,2024-04-08,22
Other,2024-04-08,18
Disk IO Exception,2024-04-09,19
Memory Exception,2024-04-09,14
Network IO Exception,2024-04-09,27
Other,2024-04-09,15
Disk IO Exception,2024-04-10,22
Memory Exception,2024-04-10,21
Network IO Exception,2024-04-10,27
Other,2024-04-10,26
Disk IO Exception,2024-04-11,19
Memory Exception,2024-04-11,12
Network IO Exception,2024-04-11,28
Other,2024-04-11,23
Disk IO Exception,2024-04-12,13
Memory Exception,2024-04-12,22
Network IO Exception,2024-04-12,21
Other,2024-04-12,16
Disk IO Exception,2024-04-13,32
Memory Exception,2024-04-13,30
Network IO Exception,2024-04-13,20
Other,2024-04-13,22
Disk IO Exception,2024-04-14,16
Memory Exception,2024-04-14,17
Network IO Exception,2024-04-14,33
Other,2024-04-14,22
Disk IO Exception,2024-04-15,9
Memory Exception,2024-04-15,10
Network IO Exception,2024-04-15,15
Other,2024-04-15,8
Disk IO Exception,2024-04-16,13
Memory Exception,2024-04-16,19
Network IO Exception,2024-04-16,27
Other,2024-04-16,27
Disk IO Exception,2024-04-17,15
Memory Exception,2024-04-17,8
Network IO Exception,2024-04-17,14
Other,2024-04-17,18
Disk IO Exception,2024-04-18,21
Memory Exception,2024-04-18,17
Network IO Exception,2024-04-18,18
Other,2024-04-18,22
Disk IO Exception,2024-04-19,29
Memory Exception,2024-04-19,25
Network IO Exception,2024-04-19,21
Other,2024-04-19,29
Disk IO Exception,2024-04-20,31
Memory Exception,2024-04-20,20
Network IO Exception,2024-04-20,27
Other,2024-04-20,21
Disk IO Exception,2024-04-21,24
Memory Exception,2024-04-21,30
Network IO Exception,2024-04-21,18
Other,2024-04-21,19
